index,modelId,layer,description,explanationModelName,typeName,bio_related
51,gemma-2-9b,1-gemmascope-res-16k,references to mistakes or failures,,oai_token-act-pair,
52,gemma-2-9b,1-gemmascope-res-16k,"expressions of surprise or excitement, along with certain terms associated with quizzes and decor",,oai_token-act-pair,
53,gemma-2-9b,1-gemmascope-res-16k,specific terms related to molecular dynamics simulations,,oai_token-act-pair,
54,gemma-2-9b,1-gemmascope-res-16k,"references to historical figures or events, particularly those related to Martin",,oai_token-act-pair,
55,gemma-2-9b,1-gemmascope-res-16k,"references to the word ""Pal"" in various contexts, indicating a focus on the concept of companionship or friendship",,oai_token-act-pair,
56,gemma-2-9b,1-gemmascope-res-16k,legal terminology and references relating to judicial matters,,oai_token-act-pair,
57,gemma-2-9b,1-gemmascope-res-16k,"the presence of the word ""story"" and its variations, indicating discussions about narratives or storytelling",,oai_token-act-pair,
58,gemma-2-9b,1-gemmascope-res-16k,"instances of the word ""are"" in various contexts",,oai_token-act-pair,
59,gemma-2-9b,1-gemmascope-res-16k,terms related to intermediate levels of analysis or categorization,,oai_token-act-pair,
60,gemma-2-9b,1-gemmascope-res-16k,"blocks of code, particularly function and method definitions",,oai_token-act-pair,
61,gemma-2-9b,1-gemmascope-res-16k,terms related to collaborative and co-authorship networks,,oai_token-act-pair,
62,gemma-2-9b,1-gemmascope-res-16k," terms related to the word ""double"" in various contexts",,oai_token-act-pair,
63,gemma-2-9b,1-gemmascope-res-16k,phrases indicating absence or lack of something,,oai_token-act-pair,
64,gemma-2-9b,1-gemmascope-res-16k,terms related to distribution and associated processes,,oai_token-act-pair,
65,gemma-2-9b,1-gemmascope-res-16k,instances of context management and client interactions within the code,,oai_token-act-pair,
66,gemma-2-9b,1-gemmascope-res-16k,terms related to assessments and evaluations,,oai_token-act-pair,
67,gemma-2-9b,1-gemmascope-res-16k,terms related to trends and holes in various contexts,,oai_token-act-pair,
68,gemma-2-9b,1-gemmascope-res-16k, terms related to biology and biological processes,,oai_token-act-pair,
69,gemma-2-9b,1-gemmascope-res-16k, terms and concepts related to programming and protocol buffers,,oai_token-act-pair,
70,gemma-2-9b,1-gemmascope-res-16k,terms related to the concept of recall,,oai_token-act-pair,
71,gemma-2-9b,1-gemmascope-res-16k,references to a specific place or concept associated with 'Pra',,oai_token-act-pair,
72,gemma-2-9b,1-gemmascope-res-16k,specific phrases or terms related to the Ly (lymphatic) system and its components,,oai_token-act-pair,
73,gemma-2-9b,1-gemmascope-res-16k,quantities or references to 'lots' or 'plenty' in various contexts,,oai_token-act-pair,
74,gemma-2-9b,1-gemmascope-res-16k,"the word ""that"" in various contexts",,oai_token-act-pair,
75,gemma-2-9b,1-gemmascope-res-16k,terms related to radio stations and programming,,oai_token-act-pair,
76,gemma-2-9b,1-gemmascope-res-16k, instances of the print function in code snippets,,oai_token-act-pair,
77,gemma-2-9b,1-gemmascope-res-16k, terminology related to smoke and its effects,,oai_token-act-pair,
78,gemma-2-9b,1-gemmascope-res-16k,references to foundations or fundamental concepts,,oai_token-act-pair,
79,gemma-2-9b,1-gemmascope-res-16k,references to law enforcement or police roles,,oai_token-act-pair,
80,gemma-2-9b,1-gemmascope-res-16k,words and phrases related to antibodies and antigens,,oai_token-act-pair,
81,gemma-2-9b,1-gemmascope-res-16k,words that signify the action of maintaining or persistently doing something,,oai_token-act-pair,
82,gemma-2-9b,1-gemmascope-res-16k, programming-related function declarations and their return types,,oai_token-act-pair,
83,gemma-2-9b,1-gemmascope-res-16k,alphanumeric characters and specific notation used in mathematical or programming contexts,,oai_token-act-pair,
84,gemma-2-9b,1-gemmascope-res-16k, references to command execution and error handling in command-line interfaces,,oai_token-act-pair,
85,gemma-2-9b,1-gemmascope-res-16k, symbols and punctuation marks used in formatting or programming contexts,,oai_token-act-pair,
86,gemma-2-9b,1-gemmascope-res-16k," the word ""special"" in various contexts",,oai_token-act-pair,
87,gemma-2-9b,1-gemmascope-res-16k,terms related to membership in organizations,,oai_token-act-pair,
88,gemma-2-9b,1-gemmascope-res-16k,"the word ""shall"" indicating obligations or requirements in legal contexts",,oai_token-act-pair,
89,gemma-2-9b,1-gemmascope-res-16k,terms related to specifications and corrections,,oai_token-act-pair,
90,gemma-2-9b,1-gemmascope-res-16k, references to legal counsel in a judicial context,,oai_token-act-pair,
91,gemma-2-9b,1-gemmascope-res-16k,"terms related to resistance in various contexts, particularly in medical and scientific discussions",,oai_token-act-pair,
92,gemma-2-9b,1-gemmascope-res-16k,references to mathematical matrices and matrix operations,,oai_token-act-pair,
93,gemma-2-9b,1-gemmascope-res-16k,references to clinical or professional experience,,oai_token-act-pair,
94,gemma-2-9b,1-gemmascope-res-16k," instances of the word ""match"" and related terms in a programming or technical context",,oai_token-act-pair,
95,gemma-2-9b,1-gemmascope-res-16k,references to specific geographic locations and identifiers related to medical terms and conditions,,oai_token-act-pair,
96,gemma-2-9b,1-gemmascope-res-16k, variables and functions related to programming and object-oriented structures,,oai_token-act-pair,
97,gemma-2-9b,1-gemmascope-res-16k," occurrences of the word ""Had"" in various contexts",,oai_token-act-pair,
98,gemma-2-9b,1-gemmascope-res-16k, instances of nucleotide sequences or related terms in a biological context,,oai_token-act-pair,
99,gemma-2-9b,1-gemmascope-res-16k,"references to ""wing"" or its variations in context, indicating a focus on aeronautical or flight-related topics",,oai_token-act-pair,
100,gemma-2-9b,1-gemmascope-res-16k," instances of the word ""fully"" in the text",,oai_token-act-pair,
101,gemma-2-9b,1-gemmascope-res-16k,terms related to healthcare professionals and constitutional principles,,oai_token-act-pair,
102,gemma-2-9b,1-gemmascope-res-16k, references to dedication or commitment in various contexts,,oai_token-act-pair,
103,gemma-2-9b,1-gemmascope-res-16k,"the term ""absolute"" in various contexts",,oai_token-act-pair,
104,gemma-2-9b,1-gemmascope-res-16k," phrases related to ""chains.""",,oai_token-act-pair,
105,gemma-2-9b,1-gemmascope-res-16k,references to the Euro and related financial terms,,oai_token-act-pair,
106,gemma-2-9b,1-gemmascope-res-16k,a specific type of sand and its variations in different contexts,,oai_token-act-pair,
107,gemma-2-9b,1-gemmascope-res-16k,"terms related to theories or propositions, particularly those involving reforms or changes",,oai_token-act-pair,
108,gemma-2-9b,1-gemmascope-res-16k,references to various types of statistics,,oai_token-act-pair,
109,gemma-2-9b,1-gemmascope-res-16k, words related to biological processes and characteristics,,oai_token-act-pair,
110,gemma-2-9b,1-gemmascope-res-16k,references to Asia and Asian regions,,oai_token-act-pair,
111,gemma-2-9b,1-gemmascope-res-16k, programming constructs and method calls in code,,oai_token-act-pair,
112,gemma-2-9b,1-gemmascope-res-16k,terms related to identity and authentication,,oai_token-act-pair,
113,gemma-2-9b,1-gemmascope-res-16k," occurrences related to the concept of ""homo"" or ""homogeneous.""",,oai_token-act-pair,
114,gemma-2-9b,1-gemmascope-res-16k,"the presence of the prefix ""poly"" relating to polymers or materials",,oai_token-act-pair,
115,gemma-2-9b,1-gemmascope-res-16k,references to geographic locations or specific places,,oai_token-act-pair,
116,gemma-2-9b,1-gemmascope-res-16k,"instances of the word ""bel"" in various contexts",,oai_token-act-pair,
117,gemma-2-9b,1-gemmascope-res-16k,terms related to reproduction processes and reproductive success,,oai_token-act-pair,
118,gemma-2-9b,1-gemmascope-res-16k,"mentions of the letter ""Z"" or related symbols and terms",,oai_token-act-pair,
119,gemma-2-9b,1-gemmascope-res-16k," occurrences of the word ""me"" in various contexts",,oai_token-act-pair,
120,gemma-2-9b,1-gemmascope-res-16k,references to moisture and water-related properties,,oai_token-act-pair,
121,gemma-2-9b,1-gemmascope-res-16k,references to CPU and related technical terminology in computing,,oai_token-act-pair,
122,gemma-2-9b,1-gemmascope-res-16k, mathematical expressions and notation related to tumor studies,,oai_token-act-pair,
123,gemma-2-9b,1-gemmascope-res-16k, mentions of specific individuals or entities related to victimization,,oai_token-act-pair,
124,gemma-2-9b,1-gemmascope-res-16k,terms related to neutrality in a genetic context,,oai_token-act-pair,
125,gemma-2-9b,1-gemmascope-res-16k, instances of the word 'growth',,oai_token-act-pair,
126,gemma-2-9b,1-gemmascope-res-16k, instances of mathematical formulas in the text,,oai_token-act-pair,
127,gemma-2-9b,1-gemmascope-res-16k, references to notices and notifications in legal or formal documents,,oai_token-act-pair,
128,gemma-2-9b,1-gemmascope-res-16k, legal terms and references related to court cases and judicial processes,,oai_token-act-pair,
129,gemma-2-9b,1-gemmascope-res-16k,terms related to retaining or holding onto something,,oai_token-act-pair,
130,gemma-2-9b,1-gemmascope-res-16k, personal pronouns and their negations,,oai_token-act-pair,
131,gemma-2-9b,1-gemmascope-res-16k, numerical values and their representations,,oai_token-act-pair,
132,gemma-2-9b,1-gemmascope-res-16k,mentions of witnesses in a legal context,,oai_token-act-pair,
133,gemma-2-9b,1-gemmascope-res-16k,references to legal complaints or grievances,,oai_token-act-pair,
134,gemma-2-9b,1-gemmascope-res-16k,questions and statements related to food,,oai_token-act-pair,
135,gemma-2-9b,1-gemmascope-res-16k, phrases and terms related to statistical analysis and estimation,,oai_token-act-pair,
136,gemma-2-9b,1-gemmascope-res-16k, discussions or references to broad concepts or categories,,oai_token-act-pair,
137,gemma-2-9b,1-gemmascope-res-16k, instances of a constructor function in programming contexts,,oai_token-act-pair,
138,gemma-2-9b,1-gemmascope-res-16k, programming constructs related to conditional statements,,oai_token-act-pair,
139,gemma-2-9b,1-gemmascope-res-16k,terms related to food safety and fraudulent activities,,oai_token-act-pair,
140,gemma-2-9b,1-gemmascope-res-16k,"instances of the word ""throw"" and references to views or perspectives",,oai_token-act-pair,
141,gemma-2-9b,1-gemmascope-res-16k," terms related to locations or institutions, particularly libraries and studios",,oai_token-act-pair,
142,gemma-2-9b,1-gemmascope-res-16k, references to time intervals or frequency of occurrences,,oai_token-act-pair,
143,gemma-2-9b,1-gemmascope-res-16k, terms related to visibility and recognizability,,oai_token-act-pair,
144,gemma-2-9b,1-gemmascope-res-16k,"items related to food and dining, particularly specific dishes and ingredients",,oai_token-act-pair,
145,gemma-2-9b,1-gemmascope-res-16k," occurrences of the word ""render"" and its variations in the context of functions or processes, particularly related to output or rendering in programming",,oai_token-act-pair,
146,gemma-2-9b,1-gemmascope-res-16k,"instances of the word ""shame"" and references to legal jurisdiction",,oai_token-act-pair,
147,gemma-2-9b,1-gemmascope-res-16k,terms related to live organisms or life processes,,oai_token-act-pair,
148,gemma-2-9b,1-gemmascope-res-16k, words related to database insertion operations,,oai_token-act-pair,
149,gemma-2-9b,1-gemmascope-res-16k,"references to ""stone"" in various contexts",,oai_token-act-pair,
150,gemma-2-9b,1-gemmascope-res-16k, discussions about agreements or negotiations,,oai_token-act-pair,
151,gemma-2-9b,1-gemmascope-res-16k,references to forests and related terms,,oai_token-act-pair,
152,gemma-2-9b,1-gemmascope-res-16k,questions and inquiries about reasoning and explanations,,oai_token-act-pair,
153,gemma-2-9b,1-gemmascope-res-16k, references to the Visual Studio application in various contexts,,oai_token-act-pair,
154,gemma-2-9b,1-gemmascope-res-16k,references to tobacco and related substances,,oai_token-act-pair,
155,gemma-2-9b,1-gemmascope-res-16k, references to academic sections and citations within the text,,oai_token-act-pair,
156,gemma-2-9b,1-gemmascope-res-16k, mentions of liquid substances,,oai_token-act-pair,
157,gemma-2-9b,1-gemmascope-res-16k,"the conjunction ""and"" used in various contexts and frequencies",,oai_token-act-pair,
158,gemma-2-9b,1-gemmascope-res-16k,references to devices or machinery,,oai_token-act-pair,
159,gemma-2-9b,1-gemmascope-res-16k,"terms related to ""sector"" and ""copyright""",,oai_token-act-pair,
160,gemma-2-9b,1-gemmascope-res-16k,references to the United States,,oai_token-act-pair,
161,gemma-2-9b,1-gemmascope-res-16k,phrases indicating conditions or requests that need to be fulfilled,,oai_token-act-pair,
162,gemma-2-9b,1-gemmascope-res-16k,references to data structures or types in programming contexts,,oai_token-act-pair,
163,gemma-2-9b,1-gemmascope-res-16k," occurrences of the word ""or"" and variations of quotes or delimiters in the text",,oai_token-act-pair,
164,gemma-2-9b,1-gemmascope-res-16k,"references to ""nobody"" and similar terms that highlight a lack of agency or presence",,oai_token-act-pair,
165,gemma-2-9b,1-gemmascope-res-16k,"instances of the word ""Internet.""",,oai_token-act-pair,
166,gemma-2-9b,1-gemmascope-res-16k,the use of apostrophes in contractions and possessive forms,,oai_token-act-pair,
167,gemma-2-9b,1-gemmascope-res-16k, references to existing or known concepts,,oai_token-act-pair,
168,gemma-2-9b,1-gemmascope-res-16k, references to U.S. legal cases or patents,,oai_token-act-pair,
169,gemma-2-9b,1-gemmascope-res-16k," instances of the word ""forget"" and variations of the word ""sick""",,oai_token-act-pair,
170,gemma-2-9b,1-gemmascope-res-16k,"references to a specific individual or concept, particularly in repeated context",,oai_token-act-pair,
171,gemma-2-9b,1-gemmascope-res-16k, the presence of escape characters in the text,,oai_token-act-pair,
172,gemma-2-9b,1-gemmascope-res-16k,terms related to financial transactions and returns,,oai_token-act-pair,
173,gemma-2-9b,1-gemmascope-res-16k,keywords related to speed and efficiency,,oai_token-act-pair,
174,gemma-2-9b,1-gemmascope-res-16k, references to mathematical concepts involving infinity and limits,,oai_token-act-pair,
175,gemma-2-9b,1-gemmascope-res-16k,gene-related terminology and variations in nucleic acid sequences,,oai_token-act-pair,
176,gemma-2-9b,1-gemmascope-res-16k,"the term ""mod"" and its variations in various contexts, indicating references to modules or modular concepts",,oai_token-act-pair,
177,gemma-2-9b,1-gemmascope-res-16k,references to Scotland and related terms,,oai_token-act-pair,
178,gemma-2-9b,1-gemmascope-res-16k, data types related to unsigned integers,,oai_token-act-pair,
179,gemma-2-9b,1-gemmascope-res-16k, technical terms related to database query processing,,oai_token-act-pair,
180,gemma-2-9b,1-gemmascope-res-16k," instances of the word ""support"" and its variations",,oai_token-act-pair,
181,gemma-2-9b,1-gemmascope-res-16k,references to specific company names and legal disclaimers,,oai_token-act-pair,
182,gemma-2-9b,1-gemmascope-res-16k,"the term ""pal"" in various contexts, indicating a focus on friendship or informal relationships",,oai_token-act-pair,
183,gemma-2-9b,1-gemmascope-res-16k,references to Apple products and services,,oai_token-act-pair,
184,gemma-2-9b,1-gemmascope-res-16k,"functional programming concepts, particularly relating to methods for adding and modifying elements in data structures",,oai_token-act-pair,
185,gemma-2-9b,1-gemmascope-res-16k,"references to geographic directions and regions, specifically related to the ""South.""",,oai_token-act-pair,
186,gemma-2-9b,1-gemmascope-res-16k, references to visual elements and visual representation,,oai_token-act-pair,
187,gemma-2-9b,1-gemmascope-res-16k,"references to ""Cartan,"" ""Cartan schemes,"" and related mathematical structures",,oai_token-act-pair,
188,gemma-2-9b,1-gemmascope-res-16k,hashtags and identifiers in code or technical documentation,,oai_token-act-pair,
189,gemma-2-9b,1-gemmascope-res-16k, occurrences of error codes related to input/output operations,,oai_token-act-pair,
190,gemma-2-9b,1-gemmascope-res-16k, terms related to colonialism and colonization,,oai_token-act-pair,
191,gemma-2-9b,1-gemmascope-res-16k,references to towers or significant vertical structures,,oai_token-act-pair,
192,gemma-2-9b,1-gemmascope-res-16k,references to dates or temporal markers,,oai_token-act-pair,
193,gemma-2-9b,1-gemmascope-res-16k," references to serial offenders, particularly in a criminal context",,oai_token-act-pair,
194,gemma-2-9b,1-gemmascope-res-16k, occurrences of equations or references to mathematical formulas,,oai_token-act-pair,
195,gemma-2-9b,1-gemmascope-res-16k," code-related structures and functions, particularly those involving mapping and directory management",,oai_token-act-pair,
196,gemma-2-9b,1-gemmascope-res-16k,words related to shopping carts,,oai_token-act-pair,
197,gemma-2-9b,1-gemmascope-res-16k,references to urban settings or urbanization,,oai_token-act-pair,
198,gemma-2-9b,1-gemmascope-res-16k," code-related constructs, particularly class declarations and method definitions",,oai_token-act-pair,
199,gemma-2-9b,1-gemmascope-res-16k,terms related to muscle and muscle tissue,,oai_token-act-pair,
200,gemma-2-9b,1-gemmascope-res-16k,terms and phrases specifically related to birth and its various contexts,,oai_token-act-pair,
201,gemma-2-9b,1-gemmascope-res-16k,words related to attempts and establishments,,oai_token-act-pair,
202,gemma-2-9b,1-gemmascope-res-16k,terms related to explosions and explosive incidents,,oai_token-act-pair,
203,gemma-2-9b,1-gemmascope-res-16k, phrases indicating speed or rapid action,,oai_token-act-pair,
204,gemma-2-9b,1-gemmascope-res-16k,references to talent in various contexts,,oai_token-act-pair,
205,gemma-2-9b,1-gemmascope-res-16k,"the word ""anyone.""",,oai_token-act-pair,
206,gemma-2-9b,1-gemmascope-res-16k,"instances of the word ""as"" used in various contexts",,oai_token-act-pair,
207,gemma-2-9b,1-gemmascope-res-16k,references to hierarchical structures and organization,,oai_token-act-pair,
208,gemma-2-9b,1-gemmascope-res-16k,references to stone and related materials,,oai_token-act-pair,
209,gemma-2-9b,1-gemmascope-res-16k, references to friendships and relationships,,oai_token-act-pair,
210,gemma-2-9b,1-gemmascope-res-16k,"instances of the word ""somehow"" and related concepts",,oai_token-act-pair,
211,gemma-2-9b,1-gemmascope-res-16k," instances of programming prototypes, likely related to object-oriented structures or definitions",,oai_token-act-pair,
212,gemma-2-9b,1-gemmascope-res-16k,statistical terms and analysis related to research findings,,oai_token-act-pair,
213,gemma-2-9b,1-gemmascope-res-16k,references to legal procedures and inquiries,,oai_token-act-pair,
214,gemma-2-9b,1-gemmascope-res-16k,references to icons and related imagery in various contexts,,oai_token-act-pair,
215,gemma-2-9b,1-gemmascope-res-16k,"phrases that refer to components, ingredients, or essential elements in various contexts",,oai_token-act-pair,
216,gemma-2-9b,1-gemmascope-res-16k,references to specific types of coils in various contexts,,oai_token-act-pair,
217,gemma-2-9b,1-gemmascope-res-16k,references to Hollywood and its cultural implications,,oai_token-act-pair,
218,gemma-2-9b,1-gemmascope-res-16k,terms related to numerical methods and analysis,,oai_token-act-pair,
219,gemma-2-9b,1-gemmascope-res-16k," occurrences of the word ""chain"" in various contexts",,oai_token-act-pair,
220,gemma-2-9b,1-gemmascope-res-16k,"references to times, specifically around noon, and atomic-related terminology",,oai_token-act-pair,
221,gemma-2-9b,1-gemmascope-res-16k, descriptors indicating abundance or quality in various contexts,,oai_token-act-pair,
222,gemma-2-9b,1-gemmascope-res-16k,"the term ""wide"" in various contexts, particularly relating to configurations or descriptions",,oai_token-act-pair,
223,gemma-2-9b,1-gemmascope-res-16k,terms related to value and worthiness,,oai_token-act-pair,
224,gemma-2-9b,1-gemmascope-res-16k,terms related to legal proceedings and judgments,,oai_token-act-pair,
225,gemma-2-9b,1-gemmascope-res-16k, phrases indicating simplicity or ease of use,,oai_token-act-pair,
226,gemma-2-9b,1-gemmascope-res-16k, references to square dimensions or properties,,oai_token-act-pair,
227,gemma-2-9b,1-gemmascope-res-16k, gerunds or present participles in various contexts,,oai_token-act-pair,
228,gemma-2-9b,1-gemmascope-res-16k," mentions of ""kin"" or related terms pertaining to family and relationships",,oai_token-act-pair,
229,gemma-2-9b,1-gemmascope-res-16k, references to high-definition (HD) content and scheduling information,,oai_token-act-pair,
230,gemma-2-9b,1-gemmascope-res-16k,"the concept of ""purity"" and related terms",,oai_token-act-pair,
231,gemma-2-9b,1-gemmascope-res-16k,terms related to inventions and their descriptions,,oai_token-act-pair,
232,gemma-2-9b,1-gemmascope-res-16k,"occurrences of the word ""of"" and related prepositions or phrases that indicate relationships or dependencies",,oai_token-act-pair,
233,gemma-2-9b,1-gemmascope-res-16k, geographic or locational identifiers,,oai_token-act-pair,
234,gemma-2-9b,1-gemmascope-res-16k,references to bars and publications,,oai_token-act-pair,
235,gemma-2-9b,1-gemmascope-res-16k,references to directionality and bias in various contexts,,oai_token-act-pair,
236,gemma-2-9b,1-gemmascope-res-16k,words related to infection or infliction of harm,,oai_token-act-pair,
237,gemma-2-9b,1-gemmascope-res-16k,terms related to excavation or the act of digging,,oai_token-act-pair,
238,gemma-2-9b,1-gemmascope-res-16k,legal terminology and phrases related to judicial processes or decisions,,oai_token-act-pair,
239,gemma-2-9b,1-gemmascope-res-16k,"prepositions, particularly emphasizing ""of.""",,oai_token-act-pair,
240,gemma-2-9b,1-gemmascope-res-16k, references to commands or command-related terms in a programming context,,oai_token-act-pair,
241,gemma-2-9b,1-gemmascope-res-16k,references to plastic materials,,oai_token-act-pair,
242,gemma-2-9b,1-gemmascope-res-16k, references to the concept of collecting or assembling information,,oai_token-act-pair,
243,gemma-2-9b,1-gemmascope-res-16k,terms and phrases related to wisdom or intelligence,,oai_token-act-pair,
244,gemma-2-9b,1-gemmascope-res-16k, references to programming language elements,,oai_token-act-pair,
245,gemma-2-9b,1-gemmascope-res-16k,phrases that indicate consequences or future occurrences,,oai_token-act-pair,
246,gemma-2-9b,1-gemmascope-res-16k,terms related to pitching in baseball and boating,,oai_token-act-pair,
247,gemma-2-9b,1-gemmascope-res-16k, references to heritage and testimony in various contexts,,oai_token-act-pair,
248,gemma-2-9b,1-gemmascope-res-16k,structure and formatting elements in data or text,,oai_token-act-pair,
249,gemma-2-9b,1-gemmascope-res-16k, references to scripts in various programming contexts,,oai_token-act-pair,
250,gemma-2-9b,1-gemmascope-res-16k,terms and phrases related to refunds,,oai_token-act-pair,
251,gemma-2-9b,1-gemmascope-res-16k,references to payment and related financial terms,,oai_token-act-pair,
252,gemma-2-9b,1-gemmascope-res-16k, references to legal codes or statutes,,oai_token-act-pair,
253,gemma-2-9b,1-gemmascope-res-16k,references to drains and drainage issues,,oai_token-act-pair,
254,gemma-2-9b,1-gemmascope-res-16k,terms related to sides and surfaces,,oai_token-act-pair,
255,gemma-2-9b,1-gemmascope-res-16k,locations of numerical arrays in code or mathematical expressions,,oai_token-act-pair,
256,gemma-2-9b,1-gemmascope-res-16k,markdown headers and formatting indicators,,oai_token-act-pair,
257,gemma-2-9b,1-gemmascope-res-16k," instances of the word ""control"" and its variations",,oai_token-act-pair,
258,gemma-2-9b,1-gemmascope-res-16k,"references to cooking or food preparation items, specifically bowls",,oai_token-act-pair,
259,gemma-2-9b,1-gemmascope-res-16k, references to vertical structures or vertical dynamics,,oai_token-act-pair,
260,gemma-2-9b,1-gemmascope-res-16k,"the presence of the name ""Al"" in various contexts",,oai_token-act-pair,
261,gemma-2-9b,1-gemmascope-res-16k,references to statistical medians,,oai_token-act-pair,
262,gemma-2-9b,1-gemmascope-res-16k,terms related to changes or modifications,,oai_token-act-pair,
263,gemma-2-9b,1-gemmascope-res-16k," occurrences of the term ""IG"" in various forms",,oai_token-act-pair,
